feed_id,country,provider,name,url,licence,licence_url,attribution
tdg-83201,FR,Coeur de Flandre Agglo,Réseau urbain Hop Bus,https://www.data.gouv.fr/api/1/datasets/r/131da43c-d324-4f98-8481-0c7b20327df1,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83139,FR,Communauté d'Agglomération Beaune Côte et Sud,Réseau urbain Côte&Bus,https://proxy.transport.data.gouv.fr/resource/beaune-cote-et-bus-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-81341,FR,Communauté d'Agglomération du Grand Dole,Réseau urbain Grandole Mobilités,https://proxy.transport.data.gouv.fr/resource/tgd-dole-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83928,FR,Communauté d'Agglomération du Pays de Saint-Omer,Réseau urbain Mouvéo,https://proxy.transport.data.gouv.fr/resource/mouveo-saint-omer-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-81626,FR,Communauté d'Agglomération Gap-Tallard-Durance,Réseau urbain L'Agglo en Bus,https://www.data.gouv.fr/api/1/datasets/r/11f653e9-0d6a-4e87-8cda-3069b3c6b441,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-40623,FR,Communauté d'Agglomération Hérault Méditerranée,Réseau urbain Cap’Bus,https://www.data.gouv.fr/api/1/datasets/r/7dab24f0-3114-49b9-827d-376d10a4b193,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-79830,FR,Communauté d'agglomération Le Cotentin,Réseau urbain Cap Cotentin,https://www.data.gouv.fr/api/1/datasets/r/c94af528-293f-406f-a96f-bf847bcb252a,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83855,FR,Communauté d'Agglomération Lunel Agglo,Réseau urbain Olé,https://www.data.gouv.fr/api/1/datasets/r/5511d6c1-1454-4045-a2f5-1223f22d7530,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-79036,FR,Communauté d'agglomération Porte de l'Isère,Réseau urbain Ruban,https://www.data.gouv.fr/api/1/datasets/r/120182b0-e338-4917-b2bb-ee37b60de1ba,ODbL 1.0,https://opendatacommons.org/licenses/odbl/1.0/,
tdg-83190,FR,Communauté de Communes Chinon Vienne et Loire,Navette estivale CVL Mobilité,https://www.data.gouv.fr/api/1/datasets/r/82608db8-ab62-48d8-83de-decaed8828b3,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83192,FR,Communauté de Communes Chinon Vienne et Loire,Réseau urbain CVL Mobilité,https://www.data.gouv.fr/api/1/datasets/r/8d37ead3-7887-438b-9b0b-e2675d0e3f2c,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83860,FR,Communauté de Communes Cœur de Loire,Réseau urbain Papillon,https://www.data.gouv.fr/api/1/datasets/r/60dde12f-09d6-49ec-86c5-300a59119488,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83468,FR,Communauté de Communes du Pays des Écrins,Réseau urbain Pays des Ecrins,https://www.data.gouv.fr/api/1/datasets/r/252fd29f-4a13-4e38-9e9e-6d3c09e9bb5a,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-81808,FR,Communauté de Communes du Sud Corse,Réseau urbain A Citadina,https://www.data.gouv.fr/api/1/datasets/r/a792a365-b5bc-48b8-81eb-512e8e83af08,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83630,FR,Communauté de Communes Haute-Tarentaise,Navettes saisonnières Val d'Isère,https://www.data.gouv.fr/api/1/datasets/r/28c1bf4a-90d8-4360-baf3-ceaea2a1941f,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83628,FR,Communauté de Communes Haute-Tarentaise,Navettes saisonnières Tignes,https://www.data.gouv.fr/api/1/datasets/r/a93d2e49-c4c3-4f8c-8e03-ce346c2d53b2,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83386,FR,Communauté d’Agglomération du Centre Littoral de Guyane,Réseau urbain Agglobus,https://www.data.gouv.fr/api/1/datasets/r/16f3e3ea-8527-4a6a-a37e-2b7eb312da51,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83857,FR,Communauté Urbaine de Dunkerque / Réseau Dk Bus,Réseau urbain DK'BUS,https://www.data.gouv.fr/api/1/datasets/r/39f7ea92-6ad5-4a02-ad14-4019ce4a8ecb,ODbL 1.0,https://opendatacommons.org/licenses/odbl/1.0/,
tdg-67732,FR,DiviaMobilités,Réseau urbain DiviaMobilités,https://proxy.transport.data.gouv.fr/resource/divia-dijon-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83079,FR,ENVIA,Réseau urbain Envia,https://www.data.gouv.fr/api/1/datasets/r/8e45727d-487f-4a14-823b-d906d6ebaa43,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-84017,FR,Estérel Côte d'Azur Agglomération,Réseau urbain Le Bus,https://www.data.gouv.fr/api/1/datasets/r/24e2ecf9-82a3-4bfc-bf86-db6ec81c480f,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-81512,FR,Eurométropole de Metz,Réseau urbain Le Met',https://proxy.transport.data.gouv.fr/resource/lemet-metz-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83851,FR,Filibus - Chartres Métropole Transports,Réseau urbain Filibus,https://www.data.gouv.fr/api/1/datasets/r/7e4b9d82-0863-4eaa-8051-a1dcf5e086f5,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-82909,FR,Fluo Grand Est,Navette de la CC Sel et Vermois,https://proxy.transport.data.gouv.fr/resource/fluo-sel-et-vermois-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-84058,FR,Grand Avignon,Réseau urbain Orizo,https://www.data.gouv.fr/api/1/datasets/r/74235bed-95fc-4fa8-ab25-bab7e3c6a6f1,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83843,FR,Grand Bourg Agglomération,Réseau urbain Rubis,https://proxy.transport.data.gouv.fr/resource/rubis-bourg-en-bresse-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-81697,FR,Intercom Bernay Terres de Normandie,Réseau urbain l'Bus,https://www.data.gouv.fr/api/1/datasets/r/622b4abe-e029-4a6b-bd59-ef849e9b005f,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83889,FR,J'ybus,Réseau urbain Jybus,https://proxy.transport.data.gouv.fr/resource/jybus-rumilly-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83414,FR,JVMALIN,Réseau urbain Azalys,https://www.data.gouv.fr/api/1/datasets/r/7c58df8c-4c5b-4e2a-ad07-635345745db5,ODbL 1.0,https://opendatacommons.org/licenses/odbl/1.0/,
tdg-83868,FR,JVMALIN,Réseau urbain Linead,https://www.data.gouv.fr/api/1/datasets/r/cf98048e-7419-46ec-a1e3-36a34e1e11a9,ODbL 1.0,https://opendatacommons.org/licenses/odbl/1.0/,
tdg-81420,FR,Keolis Menton Riviera,Réseau urbain Zest,https://proxy.transport.data.gouv.fr/resource/zest-menton-riviera-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-82578,FR,Keolis RIOM,Réseau urbain RLV Mobilités,https://proxy.transport.data.gouv.fr/resource/riom-rlv-mobilites-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83743,FR,Le Grand Narbonne Communauté d'Agglomération,Réseau urbain Citibus,https://www.data.gouv.fr/api/1/datasets/r/1fc16ad0-4aef-402d-9faa-da04ddd61fd2,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-15449,FR,Lulu en Bus (Ex. Lunéo),Réseau urbain Lunéo,https://www.data.gouv.fr/api/1/datasets/r/0e17b681-e017-46e2-a792-b3b6ead2c06c,ODbL 1.0,https://opendatacommons.org/licenses/odbl/1.0/,
tdg-84080,FR,Martinique Transport,Réseau urbain de la zone Sud (CAESM),https://www.data.gouv.fr/api/1/datasets/r/092ad091-b0c1-4094-9897-198a3c78faa7,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-84081,FR,Martinique Transport,Réseau urbain de la zone Centre (CACEM),https://www.data.gouv.fr/api/1/datasets/r/6cfa1c1c-43ef-4b55-9cae-b106180eefdb,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-84015,FR,Montluçon Communauté,Réseau urbain Maelis,https://proxy.transport.data.gouv.fr/resource/maelis-montlucon-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,ODbL 1.0,https://opendatacommons.org/licenses/odbl/1.0/,
tdg-81755,FR,Montpellier Méditerranée Métropole,Réseau urbain TaM,https://www.data.gouv.fr/api/1/datasets/r/c44bc589-b954-4a8c-918d-bc555938b6ea,ODbL 1.0,https://opendatacommons.org/licenses/odbl/1.0/,
tdg-83780,FR,Montpellier Méditerranée Métropole,Réseau urbain TaM,https://www.data.gouv.fr/api/1/datasets/r/f8bbdcd9-0a6c-4786-ab15-08b70cad47c7,ODbL 1.0,https://opendatacommons.org/licenses/odbl/1.0/,
tdg-83538,FR,Montélibus,Réseau urbain Montelibus,https://proxy.transport.data.gouv.fr/resource/montelibus-montelimar-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83319,FR,Métropole Nice Côte d'Azur,Réseau urbain Lignes d'Azur,https://www.data.gouv.fr/api/1/datasets/r/5f571595-aef1-480f-acde-b9315d9f5f3b,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83297,FR,Métropole Rouen Normandie,Réseau urbain Astuce,https://www.data.gouv.fr/api/1/datasets/r/0da9db94-d181-47b7-ae6f-cafe68014c4f,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83298,FR,Métropole Rouen Normandie,Réseau urbain Astuce,https://www.data.gouv.fr/api/1/datasets/r/e28a981d-7f5f-4bd8-a4c1-e74a822f13f8,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-82677,FR,Métropole Rouen Normandie,Réseau urbain Astuce,https://www.data.gouv.fr/api/1/datasets/r/f5127667-1005-4515-b8d9-a2169ee83097,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-82474,FR,Métropole Toulon Provence Méditerranée,Réseau urbain Mistral,https://www.data.gouv.fr/api/1/datasets/r/9fe8291c-2fb2-4f89-b578-282ba05dd999,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-82549,FR,NEMUS (Réseau de transports de Flers Agglo),Réseau urbain Nemus,https://www.data.gouv.fr/api/1/datasets/r/eff8bfff-3d8d-4264-b443-f8aab1d94909,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-81140,FR,Oise Mobilité - Syndicat mixte des transports collectifs de l'Oise,Réseau interurbain et TAD zonal Corolis,https://www.data.gouv.fr/api/1/datasets/r/052ae731-ee66-45c0-97f4-bdd29f93cead,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-81306,FR,Oise Mobilité - Syndicat mixte des transports collectifs de l'Oise,Réseau urbain Lib'Bus,https://www.data.gouv.fr/api/1/datasets/r/189e343b-e3e4-4098-9652-49ef01612924,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-81044,FR,Oise Mobilité - Syndicat mixte des transports collectifs de l'Oise,Réseau urbain et interurbain Aire’MOB,https://www.data.gouv.fr/api/1/datasets/r/34d40ea1-4514-4280-9d9b-ad94e9991a3d,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-81324,FR,Oise Mobilité - Syndicat mixte des transports collectifs de l'Oise,Réseau urbain Sablons Bus,https://www.data.gouv.fr/api/1/datasets/r/52f94449-5af7-4553-bcc6-44fc417ebdd2,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-81126,FR,Oise Mobilité - Syndicat mixte des transports collectifs de l'Oise,Réseau urbain Corolis,https://www.data.gouv.fr/api/1/datasets/r/5b42006f-d97b-4f58-9edd-82fd9022efff,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-81300,FR,Oise Mobilité - Syndicat mixte des transports collectifs de l'Oise,Réseau urbain Le Bus,https://www.data.gouv.fr/api/1/datasets/r/64511de6-ed7b-4494-b049-49bf83772f1f,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-81036,FR,Oise Mobilité - Syndicat mixte des transports collectifs de l'Oise,Réseau urbain TOHM,https://www.data.gouv.fr/api/1/datasets/r/87ccbc7d-8793-4c56-8352-822bc40c9dcb,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-81134,FR,Oise Mobilité - Syndicat mixte des transports collectifs de l'Oise,Réseau urbain TIC,https://www.data.gouv.fr/api/1/datasets/r/8c90057e-c516-494b-9e08-67c6841876fe,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-81122,FR,Oise Mobilité - Syndicat mixte des transports collectifs de l'Oise,Réseau urbain AXO,https://www.data.gouv.fr/api/1/datasets/r/973e9d73-3ab8-4e47-9516-cb06b25737d8,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-81060,FR,Oise Mobilité - Syndicat mixte des transports collectifs de l'Oise,Réseau urbain Mobi,https://www.data.gouv.fr/api/1/datasets/r/a01c7604-5363-4ac1-83bc-b20acb1d9f86,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83924,FR,Oise Mobilité - Syndicat mixte des transports collectifs de l'Oise,Réseau urbain et TAD zonal Libellule,https://www.data.gouv.fr/api/1/datasets/r/abe147f7-a064-43fe-be9e-6f35f5a9597f,ODbL 1.0,https://opendatacommons.org/licenses/odbl/1.0/,
tdg-81150,FR,Oise Mobilité - Syndicat mixte des transports collectifs de l'Oise,Réseau interurbain TIC,https://www.data.gouv.fr/api/1/datasets/r/e6917aac-3de0-456f-8296-385ab4954c9b,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-81312,FR,Oise Mobilité - Syndicat mixte des transports collectifs de l'Oise,Réseau urbain PassThelle Bus,https://www.data.gouv.fr/api/1/datasets/r/f360bd88-af15-4fa0-87f2-b83f9b1e5ffc,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-80184,FR,Palmbus,Réseau urbain Palmbus,https://proxy.transport.data.gouv.fr/resource/palmbus-cannes-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83748,FR,Quimper Bretagne Occidentale,Réseau urbain Qub,https://www.data.gouv.fr/api/1/datasets/r/6b7622db-c941-4d85-9856-c0315ddb78e1,ODbL 1.0,https://opendatacommons.org/licenses/odbl/1.0/,
tdg-84069,FR,Régie de transport Communauté de communes Spelunca-Liamone,Réseau urbain U Vagabondu,https://www.data.gouv.fr/api/1/datasets/r/c854a422-f68a-469b-af72-b35c2d4dc84c,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-80723,FR,Région des Pays de la Loire,Réseau interurbain Aléop - Pays de la Loire,https://proxy.transport.data.gouv.fr/resource/aleop-pdl-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-84094,FR,Région Occitanie / Pyrénées Méditerranée,Réseau interurbain liO Occitanie,https://www.data.gouv.fr/api/1/datasets/r/3a40f4e7-3068-43d2-9cd1-7b33cb0c2fe5,ODbL 1.0,https://opendatacommons.org/licenses/odbl/1.0/,
tdg-36515,FR,Région Réunion,Réseau interurbain Cars Jaunes,https://www.data.gouv.fr/api/1/datasets/r/c0a17be1-e89a-48a3-aca1-d8eb8e89a55e,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-82783,FR,Réseau beeMob - Transports en commun de l'Agglomération Béziers Méditerranée,Réseau urbain beeMob,https://www.data.gouv.fr/api/1/datasets/r/ed8b8b27-96bd-4e46-b6c7-56b27fd0eb14,ODbL 1.0,https://opendatacommons.org/licenses/odbl/1.0/,
tdg-81967,FR,Réseau CARSUD,Réseau urbain CarSud,https://www.data.gouv.fr/api/1/datasets/r/146fe36f-16c5-44bc-ac1a-06c0fedcc4dd,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-82896,FR,Réseau de transport en commun Le Havre Seine Métropole LiA,Réseau urbain LiA,https://www.data.gouv.fr/api/1/datasets/r/b12cc05c-940d-4f43-b607-163f4632814e,ODbL 1.0,https://opendatacommons.org/licenses/odbl/1.0/,
tdg-84038,FR,Réseau de transport en commun Le Havre Seine Métropole LiA,Réseau urbain LiA,https://www.data.gouv.fr/api/1/datasets/r/d499d5a2-8bba-4862-847a-0423f7d8cf23,ODbL 1.0,https://opendatacommons.org/licenses/odbl/1.0/,
tdg-81335,FR,Réseau moova - Communauté d'Agglomération de Vesoul,Réseau urbain moova,https://proxy.transport.data.gouv.fr/resource/moova-vesoul-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
mdb-1841,FR,Réseau urbain Cap Cotentin,,https://pysae.com/api/v2/groups/transdev-cotentin/gtfs-rt,Etalab 2.0,https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf,
tdg-82889,FR,SETRAM,Réseau urbain SETRAM,https://proxy.transport.data.gouv.fr/resource/setram-lemans-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-84088,FR,SPL D'UN POINT A L'AUTRE,Réseau urbain LISATIS,https://www.data.gouv.fr/api/1/datasets/r/eb530fc3-b08f-42a2-a669-0eeeeecee32d,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
